oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
’añilo,ring,noun,2,[ˈʔɑː.ɲi.ɽɔ],’a’añilo,[ˈʔɑ.ʔɑ.ɲi.ɽɔ],rings,Any,,Hekĭ ’ant hu wua g ñ-’añilo.::I lost my ring.,audio/ring.mp3,audio/rings.mp3,,audio/examples/ilostmyring.mp3,
nahagio,mouse; earring,noun,1,[ˈnɑ̤ɑg.jɔ],nanhagio,[ˈnɑn.hɑ.gjɔ],mice; earrings,Any,,Mu’i g nanhagio ’o ’am ha’icug heg ’eḍa ’oidag.::There are lots of mice in that field.,audio/mouse.mp3,audio/mice.mp3,,audio/examples/therearelotsofmiceinthatfield.mp3,
vagtalig,jacket; sweater,noun,2,[ˈvɑg̥.tɑ.ɽig̥] ,vapagtalig,[vɑ.pɑg̥.tɑ.ɽig̥],jackets; sweaters,Any,,’Ab g va:kid g ’e-vagtalig.::Put your jacket on.,audio/jacket.mp3,audio/jackets.mp3,,audio/examples/putyourjacketon.mp3,
la:bis,pencil,noun,4,[ˈɽɑː.bis] ,lalabis,[ˈɽɑ.ɽɑ.bis],pencils,Any,,Nap ge la:bis?::Do you have a pencil?,audio/pencil.mp3,audio/pencils.mp3,,audio/examples/doyouhaveapencil.mp3,
cevagĭ,cloud / clouds,noun,,[cɯː.vɑ.gĭ] ,,,,Any,,S-kokmagĭ g cevagĭ.::The clouds are gray.,audio/cloud.mp3,,,audio/examples/thecloudsaregray.mp3,
taḍai,roadrunner,noun,2,[t̪ɑ.ɖɑi],tataḍai,[t̪ɑ.t̪ɑ.ɖɑi],roadruners,Any,,Gm hu me: g taḍai.::The roadrunner ran over there.,audio/roadrunner.mp3,audio/roadrunners.mp3,,audio/examples/theroadrunnerranoverthere.mp3,
sa:vano,bedsheet,noun,4,[ˈsɑː.vɑ.nɔ],sasavano,[ˈsɑ.sɑ.vɑ.nɔ],bedsheets,Any,,’I naggia g sa:vano.::Hang up the bedsheet.,audio/bedsheet.mp3,audio/bedsheets.mp3,,audio/examples/hangupthebedsheet.mp3,
’oidag,field,noun,2,[ˈʔɔi.d̪ɑg̥],’o’oidag,[ˈʔɔ.ʔɔi.d̪ɑg̥],fields,Any,,Ṣa:cu m ’e’eṣa heg ’eḍa ’oidag?::What do you guys plant in that field?,audio/field.mp3,audio/fields.mp3,,audio/examples/whatdoyouguysplantinthatfield.mp3,
ñe:ñ,tongue,noun,4,[ɲɯːɲ],ñeñeñ,[ˈɲɯ.ɲɯɲ],tongues,Any,,Napt mehi g ’e-ne:ñ?::Did you burn your tongue?,audio/tongue.mp3,audio/tongues.mp3,,audio/examples/didyouburnyourtongue.mp3,
ta:tamĭ,tooth / teeth,noun,,[t̪ɑː.t̪ɑ.mĭ],,[ˈvɔː.d̪ɑ],,Any,,Kegcun g ’e-ta:tamĭ!::Brush your teeth!,audio/tooth.mp3,,,audio/examples/brushyourteeth.mp3,
